"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",4,1,1.386294,1,-1.386294,1,0.2,20,-0.0803294464524705,1.27438437114556,-0.830777596823119,0.708710576725319,1.09695568151374,0.776340926715172,0.975141077029103,0.185845120687584,29.2808094456271
"result.2",4,1,1.386294,1,-1.386294,1,0.2,20,-0.981538688577237,1.33706089845927,-0.449592693002876,0.766589475246909,1.15077803438782,1.07600248191818,0.723607854169599,0.185475657538977,22.0676135476792
"result.3",4,1,1.386294,1,-1.386294,1,0.2,20,-0.579234550983756,1.27538803306492,0.120555840562149,0.558982566062712,0.922867006223554,1.10753507913721,0.671994816369445,0.205339617992235,25.3765098450575
"result.4",4,1,1.386294,1,-1.386294,1,0.2,20,-1.01805850243276,1.16438388072707,-0.407147697606481,1.83545068268233,0.766165128357396,1.4128861727314,0.437798861631254,0.194847592455463,20.7277251943506
"result.5",4,1,1.386294,1,-1.386294,1,0.2,20,-0.483851246326895,1.38006371786016,-0.882494088138081,1.14375085735975,1.07281964810476,0.961409915714612,0.688958530450027,0.165084372770959,18.4012868433724
"result.6",4,1,1.386294,1,-1.386294,1,0.2,20,-0.667005685005101,1.72219829546717,-1.15969211933104,1.10542534437306,1.07252278893444,0.84055106224047,0.800408069106451,0.167022210886973,17.9223133734021
"result.7",4,1,1.386294,1,-1.386294,1,0.2,20,-0.855432849639653,1.48142525488716,-0.538729473414125,1.05661262530433,1.06739184770161,1.05811314668011,0.550296203112948,0.164367094538158,18.1876522396854
"result.8",4,1,1.386294,1,-1.386294,1,0.2,20,-0.6442664175511,1.60103034584503,-0.814927128996107,1.0612782238246,1.08804289762538,1.06475967644337,0.561388639334668,0.165757334568277,17.6521717351426
"result.9",4,1,1.386294,1,-1.386294,1,0.2,20,0.592550789908631,0.958759822945905,-0.920832335087723,0.832613168072916,0.907864483353053,0.475459305105666,1.29512488211201,0.177107905480251,26.0424103440469
"result.10",4,1,1.386294,1,-1.386294,1,0.2,20,-0.846894378952287,1.22933751167292,-0.815683620775829,0.937264098129288,0.885786700983927,1.07540984680152,0.922995708933384,0.188095519469119,22.0900471017531
"result.11",4,1,1.386294,1,-1.386294,1,0.2,20,0.350922183104465,1.00108496439456,-0.781096866635766,0.627709982823893,0.897364183963287,1.00186775433135,0.733688516279863,0.192787431148048,25.3364010159617
"result.12",4,1,1.386294,1,-1.386294,1,0.2,20,0.147209256657146,0.921287209841277,-1.00300940213712,1.44066857569596,0.889960397716347,0.954323362961485,0.887434180345143,0.208783664749694,23.8215755831117
