"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",3,2,1.386294,1,1.386294,1,0.8,20,0.774505892042473,1.42423671351774,1.93156404309824,0.815745375160303,1.01034357302228,0.973425842348836,0.982904171606879,0.788967942958064,20.9902676806146
"result.2",3,2,1.386294,1,1.386294,1,0.8,20,-0.0284613295661542,1.41055521754198,1.57747697937156,1.08347987255882,0.891587334211702,1.0795564102871,0.965758070029743,0.774696241629744,18.4911975450903
"result.3",3,2,1.386294,1,1.386294,1,0.8,20,0.979934090385087,1.17313464554614,1.56515528009897,0.926323090710895,1.03764586637015,1.00128609503124,1.00601791010364,0.766697038349978,19.6898731100895
"result.4",3,2,1.386294,1,1.386294,1,0.8,20,0.427918711598724,1.44574054526159,1.82829476239214,0.851516819297384,0.898735271237073,0.901554811424317,1.02159525951418,0.815288150823538,19.2212839275851
"result.5",3,2,1.386294,1,1.386294,1,0.8,20,0.809184466276374,1.39851946232923,1.78681187530322,0.786623975860774,1.11174399355097,1.05699780781617,1.00660621884434,0.830966538176962,19.6978391817954
"result.6",3,2,1.386294,1,1.386294,1,0.8,20,0.815639410879873,1.39113018400544,1.79456863527575,0.783389024459316,1.11574546547246,1.05277876815683,1.00759831373365,0.83121767308978,19.7002190440502
"result.7",3,2,1.386294,1,1.386294,1,0.8,20,0.823961974765994,1.38980179224184,1.77093092171053,0.797158816971706,1.11201106530125,1.05667404277406,1.00680416503524,0.830472338317661,19.713462864827
"result.8",3,2,1.386294,1,1.386294,1,0.8,20,0.795049531465991,1.40969657783901,1.77725010061858,0.792944283948396,1.11422687676655,1.0576650044667,1.00608648327675,0.830186623428641,19.7515412257717
"result.9",3,2,1.386294,1,1.386294,1,0.8,20,0.905259852136575,1.14448101303043,1.50576637707088,0.980825066044051,1.00215407549634,0.924554371118976,1.01904789185409,0.782670905412538,19.5841694973276
"result.10",3,2,1.386294,1,1.386294,1,0.8,20,1.8997089157085,0.789806566903515,1.8549748991299,0.852023060638763,1.0882715475962,1.00404990881813,0.963298017910681,0.784179470931065,19.7446719820761
"result.11",3,2,1.386294,1,1.386294,1,0.8,20,1.46146137728988,0.787634315376021,1.43929940413904,1.07116821948255,0.980593679114065,0.926944502813851,1.03315891337754,0.791345368365969,19.3590938646634
"result.12",3,2,1.386294,1,1.386294,1,0.8,20,1.20918467081395,1.10905496060401,1.4419717020016,0.864950075069228,1.00524732866879,1.00053629061942,0.955880509946411,0.776830853554186,20.714642556201
"result.13",3,2,1.386294,1,1.386294,1,0.8,20,1.23290290630006,1.19590889849028,1.59874972543654,0.836209223746974,0.997397401025116,1.02682268252509,0.982645893690369,0.829444586488883,19.764864169005
"result.14",3,2,1.386294,1,1.386294,1,0.8,20,0.772712518811775,1.34658347388202,1.56185726243147,0.935570747434415,0.994938114452628,0.92074817504443,1.03790425151414,0.807152727873699,17.1455643223487
"result.15",3,2,1.386294,1,1.386294,1,0.8,20,1.61474963937204,0.836002644890812,1.51242307404424,0.963529341825567,0.977106069494169,0.920137850818616,1.0025915708031,0.788305292404335,19.7983327636218
"result.16",3,2,1.386294,1,1.386294,1,0.8,20,1.58597218137255,0.914457313805609,1.37313542158813,1.10849320985499,1.06635333552454,1.04568053937252,0.999754136896679,0.795227111210621,20.7613159699683
"result.17",3,2,1.386294,1,1.386294,1,0.8,20,0.629097898914934,1.39766674260593,1.42014605525566,0.979805175807019,0.958589379707597,1.01423394681875,1.02815395971909,0.824043421120775,18.8744464642914
"result.18",3,2,1.386294,1,1.386294,1,0.8,20,1.30210024002468,1.00337673292931,1.20525374607164,1.18072463174952,0.935856602100717,1.01943944021571,0.986131275196168,0.794729418490519,18.271471163025
