"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",3,2,-1.386294,1,1.386294,1,0.8,20,-0.6179040089372,0.702603685733162,1.5845071439062,0.872852428269472,1.0012757737257,0.932668377891891,1.02848454563448,0.75745527486313,20.7765198519546
"result.2",3,2,-1.386294,1,1.386294,1,0.8,20,-1.07423900306494,0.920202942062537,1.76407393525484,0.786379595573089,1.03688844724703,1.03532152304795,1.01035629057511,0.78027333611933,18.4040724157958
"result.3",3,2,-1.386294,1,1.386294,1,0.8,20,-1.01544475835925,0.871955102600642,1.68917450081864,0.859934070292396,0.947930427281258,0.984707317425963,1.00904283281887,0.794506735290145,19.2771338884129
"result.4",3,2,-1.386294,1,1.386294,1,0.8,20,-0.907832387100138,0.863398290737094,2.25308449800576,0.738133721428574,1.05322525598927,1.02372382421587,0.987605146039819,0.819187601528735,21.0693262790748
"result.5",3,2,-1.386294,1,1.386294,1,0.8,20,-1.08880140357003,0.871430050215282,1.49756697794227,0.894851763787002,0.994811523344845,0.89127994912669,1.0059399060897,0.776400838875773,19.6033356471281
"result.6",3,2,-1.386294,1,1.386294,1,0.8,20,-1.12962031242676,0.885674732377644,1.44610689255125,0.918307548180878,0.995555557746154,0.898160612712411,1.00434676787561,0.778073505362806,19.4863948430576
"result.7",3,2,-1.386294,1,1.386294,1,0.8,20,-1.16946307137768,0.897989886951684,1.50291679774664,0.893083694052925,0.998066434278093,0.897460287722772,1.00369922794129,0.779465514546903,19.5013959497703
"result.8",3,2,-1.386294,1,1.386294,1,0.8,20,-1.19454935705795,0.906250576792569,1.50041844642287,0.896864854155731,0.991290914921444,0.897291318695719,1.00465673181906,0.779144692888607,19.4522037964277
"result.9",3,2,-1.386294,1,1.386294,1,0.8,20,-0.886808510954482,0.825496786625381,1.60218451370035,0.884116372044256,1.05335444498285,1.03945598148623,1.01683163843891,0.780587376776899,20.6251582073509
"result.10",3,2,-1.386294,1,1.386294,1,0.8,20,-1.82844530594398,1.16687003365261,1.09009765612513,1.01665611153788,0.925048455147224,0.991822298088378,0.989951689822636,0.765997243289806,20.0601551552035
"result.11",3,2,-1.386294,1,1.386294,1,0.8,20,-1.28608251099951,0.971237121780798,1.7063670183261,1.06619026958574,0.8595246332621,1.00160348636248,0.988522187399808,0.792014429770001,21.0273493287631
"result.12",3,2,-1.386294,1,1.386294,1,0.8,20,-0.733879031151267,0.766282741839238,1.43921363914202,1.02325891133723,0.981190099715964,0.956764762404316,0.986497914949091,0.794832572796063,21.330139716143
"result.13",3,2,-1.386294,1,1.386294,1,0.8,20,-1.46120463251923,1.01495205571185,1.15730785618046,1.15525846201342,1.01281510136301,0.968900202821913,1.00795186393719,0.800511584074865,19.3515579202587
"result.14",3,2,-1.386294,1,1.386294,1,0.8,20,-0.411860547770349,0.666503759240824,2.08608917099934,0.726460011834311,1.08557520916934,0.973078076614708,1.00546439951151,0.790243485362478,21.4042035394032
"result.15",3,2,-1.386294,1,1.386294,1,0.8,20,-1.66100100703665,1.10728044166506,1.02667070220028,1.06702582592404,0.91367194504438,1.06094806069117,1.03476777541136,0.792028607496462,20.15565318216
"result.16",3,2,-1.386294,1,1.386294,1,0.8,20,-1.16708350105753,0.887051295029412,1.64765082770824,0.807570167338808,1.03302368212689,0.911297481445182,0.997306996612005,0.803323526340251,21.0051982338921
"result.17",3,2,-1.386294,1,1.386294,1,0.8,20,-1.22083077992865,0.933148860786707,1.48942409840174,0.971810379602919,0.935811711624513,1.0167184733335,1.02244041059291,0.805604727589576,18.8712842354151
"result.18",3,2,-1.386294,1,1.386294,1,0.8,20,-0.643773352596346,0.736001002879984,1.55485414660466,1.02027160932967,1.06781825672118,1.02031420508261,0.97745659596554,0.778973364842882,20.0092969432444
"result.19",3,2,-1.386294,1,1.386294,1,0.8,20,-0.865121733852129,0.837664932305403,1.72408396865057,0.844056805070546,1.01524713945551,0.975930946414646,0.977807020189846,0.802283538225723,20.9925567870222
"result.20",3,2,-1.386294,1,1.386294,1,0.8,20,-1.8468646779443,1.13284790591201,1.27891585855527,1.0414267533667,1.05193762997856,1.00352008193935,0.969572135087418,0.792680254665559,20.7370414313525
"result.21",3,2,-1.386294,1,1.386294,1,0.8,20,-0.857231246970984,0.786748104650417,1.4038861170833,1.12092181017865,0.947173497737319,0.972242045497475,1.02321884531394,0.804323662804387,19.1026480461108
"result.22",3,2,-1.386294,1,1.386294,1,0.8,20,-1.85119488953043,1.19186732309164,1.17507941403498,1.13363730280409,1.04749097561229,0.943433391769216,0.991151446566179,0.778019812851997,22.6196281020377
"result.23",3,2,-1.386294,1,1.386294,1,0.8,20,-2.40078863147428,1.33244316182457,1.28979596055863,1.13906750319898,1.00783976382661,1.03271239152477,0.998502958199706,0.764414537142316,20.1986048402683
"result.24",3,2,-1.386294,1,1.386294,1,0.8,20,-0.673824678441356,0.772004887936075,1.48496276927734,1.08253161580805,1.00071077186862,1.01872441351638,0.981640427301963,0.769754125460684,21.8517801212927
"result.25",3,2,-1.386294,1,1.386294,1,0.8,20,-1.20530493512244,0.902960979440884,1.99161158976137,0.77217815597601,1.03930854822884,0.959157794132637,0.995738934809769,0.770205462193474,21.4579139578446
"result.26",3,2,-1.386294,1,1.386294,1,0.8,20,-0.586969529756028,0.748110125730626,1.65262847446458,0.770637618540202,1.05644955567366,0.985457992810669,1.01426173613655,0.81573548945681,19.9507277590741
"result.27",3,2,-1.386294,1,1.386294,1,0.8,20,-1.14477688391107,0.865169585246038,0.912522464029354,1.18845228939534,0.991018162728421,0.930702233440312,1.04561009952568,0.753243512537089,24.1171999858782
"result.28",3,2,-1.386294,1,1.386294,1,0.8,20,-1.86293800260464,1.25258413131064,1.61101309532151,0.870282366973495,1.00697402408463,0.986889430160816,1.00423612936404,0.803837805683786,20.4336124054293
"result.29",3,2,-1.386294,1,1.386294,1,0.8,20,-1.8303439064759,1.17246561799071,1.11634598067285,1.12111633575936,1.01794401925373,1.00408025100537,1.0498962309004,0.797625357242346,22.4616100412553
"result.30",3,2,-1.386294,1,1.386294,1,0.8,20,-0.959694736946674,0.787340606138969,1.62501094733705,0.971533401183474,0.990462202281869,0.982432414794298,0.998842545646621,0.827271497370925,21.0193395210998
"result.31",3,2,-1.386294,1,1.386294,1,0.8,20,-1.18529562918761,1.00191313905987,2.28189902344698,0.833117548879631,0.987755908123088,0.98124032185304,1.00472490109104,0.80095901121522,18.271626627555
"result.32",3,2,-1.386294,1,1.386294,1,0.8,20,-1.08834128455112,0.831368809076371,1.56267703372293,0.96507891368523,0.943543826577139,0.973342467939455,1.03807694391214,0.790972512863801,22.5385904193014
"result.33",3,2,-1.386294,1,1.386294,1,0.8,20,-0.826536520293757,0.744486870770512,1.55856028499822,0.856872037900438,0.972913156865931,0.981928293516532,1.01723055722407,0.812206033051708,20.0110937103458
"result.34",3,2,-1.386294,1,1.386294,1,0.8,20,-1.28038029756972,1.00073026407717,1.84915177808795,0.843105636378663,0.96688904921631,0.957744784811902,1.00404459496415,0.778172957086198,21.3330779938545
"result.35",3,2,-1.386294,1,1.386294,1,0.8,20,-2.27372339824004,1.33711673821806,1.41960314343074,0.966679347321632,0.931385390551656,0.985478034014381,0.978211593904481,0.81197358220972,20.4147027383585
"result.36",3,2,-1.386294,1,1.386294,1,0.8,20,-1.60318472326533,1.04371250295448,1.27561919114591,1.06928901979531,1.01237919386112,1.00793194355435,0.986073229256428,0.78909577454033,21.5216943384715
"result.37",3,2,-1.386294,1,1.386294,1,0.8,20,-1.24441300032617,0.985581673761679,1.64286508648425,0.890334946523683,0.918772938409939,1.02056244178305,0.987029720086828,0.795109038189332,20.4016786261009
"result.38",3,2,-1.386294,1,1.386294,1,0.8,20,-1.7425245873263,1.15467015476684,2.08614806344454,0.807369049113497,0.953424547414533,0.973285684714819,0.983709556427976,0.776166186062927,22.1313441219364
"result.39",3,2,-1.386294,1,1.386294,1,0.8,20,-1.31543420336151,1.04542026477744,2.04542150499822,0.75247411041981,1.05501766320066,1.01284557674066,1.00030481783072,0.775817763726584,19.5618099953376
"result.40",3,2,-1.386294,1,1.386294,1,0.8,20,-1.29469413995241,1.01623364731554,1.72165791016526,0.869935457808751,1.07169993574317,0.995030732313625,1.01235954367403,0.779626724655076,21.1694778222332
"result.41",3,2,-1.386294,1,1.386294,1,0.8,20,-1.4018508188254,0.99913802137071,1.8423874155314,0.741871600880712,1.05234360470112,0.907160995398325,1.01914043518982,0.767189214270085,20.271984893118
"result.42",3,2,-1.386294,1,1.386294,1,0.8,20,-1.03226011139794,0.895661523185173,1.56039850970027,0.883971159159084,1.06865121942306,0.867058093019982,1.03983253475817,0.768001142431991,20.3391460683996
"result.43",3,2,-1.386294,1,1.386294,1,0.8,20,-1.80541700249067,1.1343770528378,1.70492710317886,0.976158386507472,0.811114730543855,1.09281900307656,1.01070326920481,0.805477512534095,20.7262571759052
"result.44",3,2,-1.386294,1,1.386294,1,0.8,20,-1.0598620570716,0.936644382651244,1.84177776317832,0.852857120686367,1.04542831242236,1.0040347683283,1.02180914324275,0.80542445382813,18.2385896470584
"result.45",3,2,-1.386294,1,1.386294,1,0.8,20,-1.38270713586896,1.04607163369168,1.62149247724816,0.965446963467309,1.00587090955508,1.03181297084744,0.986106765987676,0.795213182948082,19.9412997048237
"result.46",3,2,-1.386294,1,1.386294,1,0.8,20,-0.8179899029081,0.859940523022298,1.55778516115161,0.966712653917803,1.05528440560456,1.06426561136328,0.998613861603501,0.803368795603742,22.0371200649788
"result.47",3,2,-1.386294,1,1.386294,1,0.8,20,-1.24906165666367,0.94519877318081,1.25492703757298,1.27228543701955,1.04703297739847,1.13451145910378,1.01001167591823,0.78707273325572,19.5589689950133
"result.48",3,2,-1.386294,1,1.386294,1,0.8,20,-0.344767879582758,0.64465248462309,1.72052444290055,0.930081434352355,1.06684915975466,0.882125999397479,0.978696301472853,0.80589157478477,20.0597852208045
