"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",2,2,-1.386294,1,1.386294,1,0.8,20,-1.0046234164895,0.819891187404114,1.28781945569331,0.935196365941492,0.740773387323201,1.02571985468853,0.992497573033191,0.808702597583252,22.1821224793581
"result.2",2,2,-1.386294,1,1.386294,1,0.8,20,-1.1400349921758,0.796952889963351,1.9699334406448,0.871039731455191,0.954337583997781,1.06254395129813,1.00716924021581,0.816955036844627,22.3153784464055
"result.3",2,2,-1.386294,1,1.386294,1,0.8,20,-1.12836249616505,0.994806985729763,1.30999165187782,0.963893621059218,1.01088486077767,1.02396490974748,0.942513821066004,0.801341839840467,21.815280817106
"result.4",2,2,-1.386294,1,1.386294,1,0.8,20,-1.31058606506658,0.942481283773505,1.34666146619209,1.01344984283226,1.06623687104501,0.94540060746997,0.989420624423022,0.778435983290947,23.1601567937751
"result.5",2,2,-1.386294,1,1.386294,1,0.8,20,-0.616510892772442,0.760717478980192,1.72823608082832,0.733840403715967,1.00681237893418,0.89990674833188,1.01397188678525,0.777405980372898,20.7298908940645
"result.6",2,2,-1.386294,1,1.386294,1,0.8,20,-0.572703875228082,0.745265043776995,1.68632466877011,0.751944886933885,1.0090359150011,0.895668059569417,1.01448183982428,0.776919884058131,20.7567980774377
"result.7",2,2,-1.386294,1,1.386294,1,0.8,20,-0.555681873573245,0.741096282642298,1.7252350663877,0.740300035477698,1.01212612373247,0.897048734106578,1.01368209107371,0.77671133228765,20.7634103777234
"result.8",2,2,-1.386294,1,1.386294,1,0.8,20,-0.592418945653285,0.753092761654471,1.73957682221049,0.732613260969235,1.01799283104128,0.89355698184205,1.01323753643171,0.778165413998626,20.6276139250333
"result.9",2,2,-1.386294,1,1.386294,1,0.8,20,-0.645295335804829,0.77352261118964,1.73005503129504,0.863205709037713,1.0400311640482,0.997493178041365,1.02317161366706,0.780519981795827,22.4892155046741
"result.10",2,2,-1.386294,1,1.386294,1,0.8,20,-1.52396117052999,0.977071208220881,1.17119014383309,1.26111732069925,0.924143500005552,1.04921980186539,1.02295309637649,0.782192731653053,21.0147177712969
"result.11",2,2,-1.386294,1,1.386294,1,0.8,20,-1.59085515637639,1.05135230152176,1.24361992573905,1.26798220306901,0.969302121688599,1.02000674757788,0.989543774378608,0.805906594653436,21.9401584481753
"result.12",2,2,-1.386294,1,1.386294,1,0.8,20,-1.37824570664051,1.09319832872664,1.16741281746877,1.1585530192974,1.04691486285199,1.13089707975795,0.990812695769081,0.805662977935059,22.5997456286667
"result.13",2,2,-1.386294,1,1.386294,1,0.8,20,-1.26606930018831,0.906660504515672,1.66062562111721,0.833321789716158,0.953659434019445,0.987125686599689,0.9733993842396,0.801708650392425,19.4451952062723
"result.14",2,2,-1.386294,1,1.386294,1,0.8,20,-1.56948321146518,1.00955284521715,1.99841759893266,0.997779152198373,0.961264753347241,1.01011315604687,0.935119654463071,0.794245357443295,20.8634135248532
"result.15",2,2,-1.386294,1,1.386294,1,0.8,20,-1.01248482471847,0.923064477545261,2.01663993872912,0.922869970029427,1.01425639431997,0.985200509525777,0.987115239529332,0.80069307852063,20.5840679512609
