"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",4,3,1.386294,1,1.386294,1,0.8,20,1.3328614269266,1.02899046891379,1.42931710648416,1.01592132698066,0.933660070244446,0.980817205246316,1.01212612076031,0.824419731170536,19.2465097408786
"result.2",4,3,1.386294,1,1.386294,1,0.8,20,1.17658530761524,1.09914982439236,1.40033847197907,0.972546341502058,0.996284603325057,0.93409383751071,1.00209967773657,0.809099007679454,20.2711393692092
"result.3",4,3,1.386294,1,1.386294,1,0.8,20,1.4058357144792,0.91273059186087,1.55814853548681,0.812723445422026,1.03105832354295,1.02536536737349,0.988670624411887,0.807369878164249,19.6878910961513
"result.4",4,3,1.386294,1,1.386294,1,0.8,20,1.25699595078868,1.2097201983024,1.32934921069745,1.08277142373165,1.08450948472003,1.01691235103927,1.01624593149392,0.793852544237814,19.435729681539
"result.5",4,3,1.386294,1,1.386294,1,0.8,20,0.994962254104399,0.966641336644774,1.64789129151581,0.970074696000062,0.997565878300589,0.976547621119145,0.997560273513159,0.810752285676442,22.5685556211491
"result.6",4,3,1.386294,1,1.386294,1,0.8,20,0.983339491342849,0.969438092697245,1.6577005887378,0.963871551927994,1.00178715217907,0.977244749672623,0.996710687661856,0.810957336223863,22.6076467021399
"result.7",4,3,1.386294,1,1.386294,1,0.8,20,1.01697198113782,0.95900516909264,1.63613879603818,0.973574921964059,1.00011766267298,0.977601853564252,0.996971432233432,0.811323944072529,22.5698442637476
"result.8",4,3,1.386294,1,1.386294,1,0.8,20,0.999886676211745,0.962225604166135,1.64411577584215,0.971730425446397,0.999224170772331,0.976355704207216,0.997219366575874,0.810742261887333,22.6040578323514
"result.9",4,3,1.386294,1,1.386294,1,0.8,20,0.778798821321781,1.12834524480808,1.29753536370381,1.0300113722667,0.948458567798766,0.969933537577677,1.00736559228636,0.786637628363545,20.3735144062718
"result.10",4,3,1.386294,1,1.386294,1,0.8,20,0.64059840985155,1.29107843513583,1.34294890639379,1.00768958372168,0.992145400044797,1.02929817236271,1.00359389032171,0.832711210436499,18.9655501487366
"result.11",4,3,1.386294,1,1.386294,1,0.8,20,0.997168898413134,1.09652703721709,1.11839811613321,1.10303431960334,0.927392746977399,1.06497617946239,0.970855029656332,0.825148965117985,19.4654353025234
"result.12",4,3,1.386294,1,1.386294,1,0.8,20,1.6076706386404,0.988908629784179,1.56784074974814,1.03361517052667,1.04539603658991,1.0103941751889,1.02536220408751,0.804998274125313,19.6606125689966
"result.13",4,3,1.386294,1,1.386294,1,0.8,20,2.13990693730126,0.781137684246979,1.49685334088933,0.927504301953089,0.995790760373589,1.0576962314496,0.970792289228254,0.776958770895379,19.9901727716326
"result.14",4,3,1.386294,1,1.386294,1,0.8,20,0.467407580226856,1.42149170846103,1.51864204123228,0.969513062557741,0.938125515692052,1.03772356551248,1.01886189244187,0.784501203888517,19.5872183057137
"result.15",4,3,1.386294,1,1.386294,1,0.8,20,1.14389980198662,0.967775076376964,1.3512760293639,1.00694864760299,0.980222154863713,1.00203920394346,0.990676171868343,0.789181127603675,20.9399531353511
"result.16",4,3,1.386294,1,1.386294,1,0.8,20,2.15602133363641,0.694534709049079,1.40147549410166,0.896149899929587,1.0575002298427,0.982615297974722,1.00491884792591,0.794017529255357,21.5747241403032
"result.17",4,3,1.386294,1,1.386294,1,0.8,20,0.685418691482388,1.40885935405955,1.37293486217773,0.972021694075449,0.98973260584805,0.976673654630568,1.01622096735468,0.832254954364087,21.6177503256666
"result.18",4,3,1.386294,1,1.386294,1,0.8,20,0.0281590115181574,1.59940394584345,1.36401124662978,0.949825436101386,0.923485761153377,1.02484723485298,0.974753698783595,0.756929449911416,21.3510783992529
"result.19",4,3,1.386294,1,1.386294,1,0.8,20,0.447204475113136,1.52857925708202,1.46226675701088,0.975109537203269,1.0085351290754,1.02071488548928,0.998435161258821,0.824636883158859,20.0680193908038
"result.20",4,3,1.386294,1,1.386294,1,0.8,20,1.3398260239995,1.13491380094704,1.09643191051249,1.16297313818935,0.988724528513481,0.975110650601989,0.993356710865932,0.805255910983495,20.5532593074248
"result.21",4,3,1.386294,1,1.386294,1,0.8,20,1.13607283984908,1.09337555026017,1.55140117484035,0.943482669579297,0.969168257960744,0.992766012397085,1.00130390645624,0.792937849978368,19.2529498273166
"result.22",4,3,1.386294,1,1.386294,1,0.8,20,1.8164037259873,0.8746933478856,1.1504737423461,1.12432190175437,1.03876677404088,0.938416798839773,0.992248661127615,0.804421418717702,22.9179065222208
"result.23",4,3,1.386294,1,1.386294,1,0.8,20,1.52570845941051,0.941390300222406,1.19641799301539,0.99980105813976,0.949944041238459,1.00468248244002,1.03083171821881,0.798758278558364,21.8677122689332
"result.24",4,3,1.386294,1,1.386294,1,0.8,20,1.75542245255445,0.780382555491217,1.40304505287698,1.16666451613627,1.01824397817056,1.04067808292753,1.01303228200895,0.776631606688561,19.517502073971
"result.25",4,3,1.386294,1,1.386294,1,0.8,20,1.27378615406818,1.10638532985543,1.57157813444493,0.856431161297709,0.853288263444809,0.973210147159246,1.01039700217008,0.814826348024089,20.3501232366845
"result.26",4,3,1.386294,1,1.386294,1,0.8,20,1.27223033168326,1.06168636787518,1.48517134144116,0.87440863197757,0.999065874336291,0.998370468949698,0.98772461184859,0.816513307826917,19.457131395903
"result.27",4,3,1.386294,1,1.386294,1,0.8,20,1.3773561606808,0.906266409907819,1.71281782337961,0.82874876706485,1.02464011438071,1.01655384988122,0.989668263884121,0.79910100691007,18.8439153019532
"result.28",4,3,1.386294,1,1.386294,1,0.8,20,0.833887549395223,1.18747592830547,1.43744916014943,0.904348401217615,1.00372334102216,1.03967426157973,1.00875283759126,0.79072081617145,20.4191014439785
"result.29",4,3,1.386294,1,1.386294,1,0.8,20,0.926594569798008,1.26608782669141,1.62511360107916,0.931824297625836,1.06094703028764,0.973856582550875,1.00867300566526,0.813148449393519,19.7569276489156
"result.30",4,3,1.386294,1,1.386294,1,0.8,20,0.952038446155438,1.25458653971023,1.23612095047184,1.12659711424129,0.971254542398597,0.96161795689206,1.00471861759109,0.794553934526177,18.2547901415554
"result.31",4,3,1.386294,1,1.386294,1,0.8,20,0.619086775404395,1.34615723008141,1.38489057906525,1.06216569739843,0.937002951681931,0.996312722088488,1.01088159502215,0.808493117715391,20.1735903846059
"result.32",4,3,1.386294,1,1.386294,1,0.8,20,1.09269891509107,1.12995695542767,1.41723092350629,0.923271995289848,1.04827337196993,1.00541084033786,1.02627546936013,0.808798735403744,19.079084955746
"result.33",4,3,1.386294,1,1.386294,1,0.8,20,1.39385780639105,0.908720847014474,1.31406224294299,1.04462719443986,1.02516591807748,1.01626299249485,0.968395794826632,0.804637222395936,19.8135684307632
"result.34",4,3,1.386294,1,1.386294,1,0.8,20,1.44298282229435,0.861394819038461,1.58340626246815,0.866845458181804,1.01385580185741,0.999288327381116,1.01923139252717,0.790682087874545,22.6447393726479
"result.35",4,3,1.386294,1,1.386294,1,0.8,20,0.277046398570432,1.36947621525641,1.38548586609552,1.04098238798213,0.948229052175336,0.949910887487324,1.01937593567655,0.798630962940857,22.2095059581195
"result.36",4,3,1.386294,1,1.386294,1,0.8,20,1.17057537044097,1.0327413615158,1.65316837146227,0.851973835949344,0.943131833673214,1.01299441600674,0.983200341027783,0.80587651429331,18.9282019045771
"result.37",4,3,1.386294,1,1.386294,1,0.8,20,1.1928131171824,1.1483303709855,1.45879509426202,0.92635719746922,1.0382602754416,0.983347004939265,0.993907292493577,0.802900076109443,20.3376251200907
"result.38",4,3,1.386294,1,1.386294,1,0.8,20,1.4704086349131,0.871016749801499,1.43229213878616,0.921169744542573,0.968413290404713,1.00029270112471,1.00191071833566,0.804347314488909,20.4280475129682
"result.39",4,3,1.386294,1,1.386294,1,0.8,20,1.13481877306495,1.3104977370896,1.70799942016216,0.874339847582104,1.01950245794842,1.03934352960271,1.00754577725264,0.79106105334134,18.5940438503913
"result.40",4,3,1.386294,1,1.386294,1,0.8,20,1.01932650885528,1.15702662929204,1.60196442850754,0.925807884219503,1.06433780055154,0.979104894564606,0.983800458807509,0.780739567085145,19.3402759003676
"result.41",4,3,1.386294,1,1.386294,1,0.8,20,1.11104586090117,1.08920884462934,1.50276569326733,0.9189981325585,1.10397646139722,0.988838009312467,0.990375355156207,0.806361057012255,20.9329072786911
"result.42",4,3,1.386294,1,1.386294,1,0.8,20,0.795091735726547,1.23701422430649,1.52277888502752,0.940991424144407,0.902640381128432,0.962297295139662,1.008485357092,0.792778993969548,21.4536981653196
"result.43",4,3,1.386294,1,1.386294,1,0.8,20,1.27814073460606,1.20814646426842,1.46158637985129,0.973753157166392,0.93371157431436,1.03051697114836,0.98723543670486,0.778804925408773,20.447706119723
"result.44",4,3,1.386294,1,1.386294,1,0.8,20,1.49758537544822,0.952002600155174,1.16756132260708,1.05254748513932,0.949737571805028,1.035184080019,1.00063780949131,0.798564906061349,21.6955532906195
"result.45",4,3,1.386294,1,1.386294,1,0.8,20,1.03903125300235,1.17840713213263,1.27508811951358,1.0752204023897,0.953701449644937,0.976732169024226,1.01436481073465,0.786618528118836,19.1142051472686
"result.46",4,3,1.386294,1,1.386294,1,0.8,20,1.66091263684342,0.877814516511799,1.29302664012058,0.994222567810992,0.968194072071842,0.992665812537893,0.995660950033803,0.792451494326027,21.3345056422793
"result.47",4,3,1.386294,1,1.386294,1,0.8,20,0.535798691783095,1.25592141610472,1.31134284917117,1.01443101454181,1.00092179767088,1.00512344650073,1.0129129896404,0.801097459080091,21.3676034418851
"result.48",4,3,1.386294,1,1.386294,1,0.8,20,1.49616866278434,0.758250042255284,1.53449405347385,0.895992403118156,1.06493498180822,0.975957370381722,1.00513853932822,0.80695286304891,20.222981097285
"result.49",4,3,1.386294,1,1.386294,1,0.8,20,1.61167912091262,1.02074611058706,1.67018543702425,0.884194051057462,1.04785899371818,0.978884038412411,0.99798284683483,0.803092847338838,21.9095117298627
"result.50",4,3,1.386294,1,1.386294,1,0.8,20,1.29877848768573,1.15553489502859,1.57987533862536,0.8787831473723,0.969458743898457,1.01462518297264,0.991035932585189,0.816772679893127,23.2132399750695
