"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",3,2,1.386294,1,-1.386294,1,0.2,20,0.326943886198191,1.50803723300518,-1.56448239987585,1.16114871130614,0.879704494319667,1.02036811744862,1.01462647849328,0.182958116588839,20.1192181304041
"result.2",3,2,1.386294,1,-1.386294,1,0.2,20,0.464748689256428,1.20232777189755,-1.16804273027929,1.05517102743953,0.837249095899392,1.05206052142754,0.951477595187953,0.211262063288464,23.0586693245728
"result.3",3,2,1.386294,1,-1.386294,1,0.2,20,-0.306205286071617,1.38148142040461,-0.571887392445974,0.708585301559868,0.973436919790936,1.08928169549118,0.967357480694973,0.205630201310854,18.7382506554329
"result.4",3,2,1.386294,1,-1.386294,1,0.2,20,-0.0462100445275441,1.14185968914889,-0.630123566604297,0.745401222079224,1.01630229662348,1.19332416944752,1.01902850000587,0.206724034118077,22.8708843818092
"result.5",3,2,1.386294,1,-1.386294,1,0.2,20,-0.221989382066143,1.51171989141715,-1.48853100595225,1.02361947692041,0.893816410527129,1.00690264590503,1.03145306090716,0.213036668423499,26.1141870700636
"result.6",3,2,1.386294,1,-1.386294,1,0.2,20,-0.311226586024238,1.51107915975883,-1.48570613468501,1.02321712351452,0.874784970943349,0.992577788534137,1.03746077954392,0.21316179779497,26.3015335423834
"result.7",3,2,1.386294,1,-1.386294,1,0.2,20,-0.270455121491372,1.56222406819699,-1.52417396523516,1.03551271156233,0.890272706412507,0.998214096813776,1.03589973514541,0.213045236930194,25.9998403705116
"result.8",3,2,1.386294,1,-1.386294,1,0.2,20,-0.438509626758904,1.61208219228866,-1.48120633020939,1.02047593091563,0.884132285379341,1.00340275094009,1.03486590836821,0.212631331166888,26.1651476352043
"result.9",3,2,1.386294,1,-1.386294,1,0.2,20,0.17129135760684,1.36616148972836,-0.971470599095802,0.908349873591053,0.965929847080189,1.07971161658254,1.0288704478093,0.185283955406244,22.863422503798
"result.10",3,2,1.386294,1,-1.386294,1,0.2,20,0.208652549867177,1.51476524403135,-1.53148290985713,1.00835669070943,0.977045615468465,0.892591637630432,1.09990659607533,0.212114065175326,21.2558464384329
"result.11",3,2,1.386294,1,-1.386294,1,0.2,20,0.654504000026362,1.63716753717819,-2.08690720503437,1.17979620461054,0.895693673770523,0.878945112274795,0.987862753815855,0.191574278986731,25.2411075726147
"result.12",3,2,1.386294,1,-1.386294,1,0.2,20,-0.325880051562315,1.55205817563641,-1.2593062786723,0.925024128920966,0.907048763106969,1.08347104294669,0.921723606460117,0.193920492548504,19.4955908481599
"result.13",3,2,1.386294,1,-1.386294,1,0.2,20,0.794185183954304,1.05938208665351,-1.00138678651803,0.8286298927997,0.943680201958981,0.933706277116194,1.09523347826615,0.239580869651998,21.0998325052217
"result.14",3,2,1.386294,1,-1.386294,1,0.2,20,-0.127191142804879,1.49589639324065,-1.55024869983918,1.07026728582173,0.971755631166879,0.971885898894606,0.978199565207266,0.225310876151006,20.6564994114821
"result.15",3,2,1.386294,1,-1.386294,1,0.2,20,-0.218054141986603,1.58454467776546,-0.948693496510085,0.88408115395896,1.01445088412427,0.942887783988806,1.02852274214844,0.200826401595465,19.4391774525586
"result.16",3,2,1.386294,1,-1.386294,1,0.2,20,0.21248597718734,1.51229493101866,-1.58606699781142,1.04742377716527,0.882379567495561,0.896131463132825,0.991546662986162,0.197255201775454,24.6849465627019
"result.17",3,2,1.386294,1,-1.386294,1,0.2,20,0.148074944455256,1.63513024592735,-1.78597988567509,1.19119811651861,0.955546397404455,1.01826609666608,0.983447648175778,0.203012413544407,20.8645341258212
"result.18",3,2,1.386294,1,-1.386294,1,0.2,20,1.2628952373404,1.07188632356821,-1.35483929095515,1.05035181855041,0.934385564421623,0.959865766607932,1.02897701008059,0.207128852975995,18.2481142380305
"result.19",3,2,1.386294,1,-1.386294,1,0.2,20,0.43345006077616,1.51836598159991,-1.07870925739772,0.857758868886735,1.20911326989964,1.10198917968355,0.924550412553493,0.244025836787631,23.704217470282
"result.20",3,2,1.386294,1,-1.386294,1,0.2,20,0.425968170204697,1.09078877158096,-1.4417544150605,1.09303135652813,0.918974813892834,1.00381193417335,1.04558471812434,0.222853726835821,20.8985020544912
"result.21",3,2,1.386294,1,-1.386294,1,0.2,20,0.878517820969956,1.13548950574556,-0.971482289235945,0.86821374965197,0.924607691984201,0.96048553895196,1.00173209817545,0.18740846642001,19.7434518845103
"result.22",3,2,1.386294,1,-1.386294,1,0.2,20,1.36553507262084,0.80819293461206,-1.15657606545856,0.905366634734172,1.13911760710621,0.980407611556097,1.02604748771426,0.180158522227255,21.1471999821813
"result.23",3,2,1.386294,1,-1.386294,1,0.2,20,1.87916752534076,2.2554308674373,-1.37234529132432,0.948386458548462,1.12324849327745,1.0491297545846,0.998981888858334,0.171566839633662,15.8669143714165
"result.24",3,2,1.386294,1,-1.386294,1,0.2,20,-0.297958795204887,1.18627106421492,-0.795222796180867,0.772821116856507,0.961621114229229,1.0728938064061,0.971892293098868,0.187242092520798,21.809304699574
"result.25",3,2,1.386294,1,-1.386294,1,0.2,20,0.00312328421477832,1.19047796032405,-0.800408652597715,0.815382887928406,0.990474423715955,0.961937698514542,1.02328939653928,0.198746313943627,20.0121020834864
"result.26",3,2,1.386294,1,-1.386294,1,0.2,20,0.446046841783665,1.24477691387347,-1.15752788299381,0.879523001189194,1.0966776627918,1.0572455926939,0.918734765027215,0.195399175555001,17.3826964728841
"result.27",3,2,1.386294,1,-1.386294,1,0.2,20,0.243331653032527,1.15042456209786,-1.00352276943831,0.881708279515966,1.01687473159004,1.16842714564379,0.983913322420679,0.213211152708543,18.2196697467019
"result.28",3,2,1.386294,1,-1.386294,1,0.2,20,0.066283489671022,0.911239005733311,-1.18447548742674,0.877163385016904,0.782491142914305,1.19495612577121,0.908146904857115,0.18489474350418,28.6951195295773
"result.29",3,2,1.386294,1,-1.386294,1,0.2,20,0.448018315239931,0.963588274679667,-1.01745002777189,0.977064811905725,0.8191459838323,1.01813055378609,0.898833025486469,0.19923073335458,18.8302363352297
"result.30",3,2,1.386294,1,-1.386294,1,0.2,20,0.781260208540206,1.90250597728333,-1.4479553863509,0.967801556362632,1.04516719856974,0.995695974168857,1.03297447972473,0.203009966809485,22.4956356749666
"result.31",3,2,1.386294,1,-1.386294,1,0.2,20,0.37206519293385,0.963781874786827,-1.25844784903701,1.03710173478579,1.0207754703064,1.07928916764055,1.02290829661809,0.203441383594176,18.8494087962265
"result.32",3,2,1.386294,1,-1.386294,1,0.2,20,0.603601604622772,1.24343057940457,-1.4008445968044,1.00278194787031,0.828473677353649,1.03546249782667,0.982885536615484,0.210667489042594,20.015345745365
"result.33",3,2,1.386294,1,-1.386294,1,0.2,20,0.0641098425932953,1.1084181239183,-0.542357602568031,0.718126082121394,1.03729136375573,1.01462430985156,0.914286766038185,0.208304779859109,26.2527752831123
"result.34",3,2,1.386294,1,-1.386294,1,0.2,20,0.851935414350029,1.28003061663367,-1.05074320490116,0.877213986589218,0.983638615929464,0.80516465176799,1.03764730558243,0.210025706244475,20.4174243346956
"result.35",3,2,1.386294,1,-1.386294,1,0.2,20,-0.487640850231255,1.68901594858082,-0.455250877916841,0.700539344085036,0.985831562008361,1.07676706203644,0.991853913527052,0.179253884625169,22.092566585515
"result.36",3,2,1.386294,1,-1.386294,1,0.2,20,1.09383564316436,1.1104688486656,-1.28169987767655,0.935983645028181,0.950906475740147,0.939393697564397,0.940843849506663,0.189323266544812,21.380105426996
"result.37",3,2,1.386294,1,-1.386294,1,0.2,20,0.390663685398685,1.78064714643781,-0.510984092775206,0.742928065573458,1.07016434693578,1.11108428088239,0.93504361547994,0.180825859637912,18.6880613298329
"result.38",3,2,1.386294,1,-1.386294,1,0.2,20,0.667492076234392,1.23190005490044,-0.932894601623009,0.857492093617818,1.16390850360328,1.18410160760098,0.91218344608754,0.207126053376942,20.5534765866909
"result.39",3,2,1.386294,1,-1.386294,1,0.2,20,0.640972721211895,0.815485111171612,-0.864634876919708,0.721108468803317,0.892340414006717,1.06714851103288,1.00194531739208,0.18543225488175,21.5519998283119
"result.40",3,2,1.386294,1,-1.386294,1,0.2,20,0.358483982624349,1.11914460150926,-0.779522015634713,0.935086369860703,1.0348017453604,1.09356223174542,1.00888803746133,0.215690952901585,18.2866518851305
"result.41",3,2,1.386294,1,-1.386294,1,0.2,20,0.832148802496125,1.41171565773263,-1.18461001745053,1.03260691325444,0.951189438573571,1.16279981144178,1.01472974097594,0.191615565934653,22.8131767967201
"result.42",3,2,1.386294,1,-1.386294,1,0.2,20,-0.080468161463278,1.48727773073732,-0.753647196044836,0.800109889933347,1.07529361774664,1.09611576573022,0.881936884116135,0.195923045881122,22.4812539779523
"result.43",3,2,1.386294,1,-1.386294,1,0.2,20,0.774822363670659,2.05926870284678,-1.3486223467608,0.999485094105747,1.0182696941129,1.10125327517487,1.04010083797943,0.208533846936439,20.0068062930065
"result.44",3,2,1.386294,1,-1.386294,1,0.2,20,0.17330273898336,1.62867208358163,-1.20974810863879,0.994071454388541,0.925217200966137,1.15037385934744,1.04939295568414,0.183521011553109,23.6475507214751
"result.45",3,2,1.386294,1,-1.386294,1,0.2,20,-0.691539604058924,1.75799949159095,-1.44729398947858,1.03646407159451,0.867692726751672,1.00069381151889,1.02820959239333,0.232561209941136,20.7437548600354
"result.46",3,2,1.386294,1,-1.386294,1,0.2,20,0.237836683012285,1.15767234601373,-0.83706432150984,0.938664326228087,1.21024536723163,1.05087988161074,0.949073787714304,0.229765626983969,18.2324656740085
"result.47",3,2,1.386294,1,-1.386294,1,0.2,20,0.68845227521179,1.2148610252341,-1.38376551912868,0.98545550439133,0.910534669010587,0.923677899141941,0.963577297498587,0.227474268080369,18.9032091929404
"result.48",3,2,1.386294,1,-1.386294,1,0.2,20,-1.67332139601415,1.75223763964651,-1.05947641928731,0.902002217696183,0.800734975981376,1.09142780765497,0.979115295261787,0.189150861008372,24.2948121963563
"result.49",3,2,1.386294,1,-1.386294,1,0.2,20,1.16256765302428,0.777713595515222,-0.945304996917339,0.799506812749381,1.10904553675568,0.981111549049964,0.933657585013932,0.193969575441104,24.0678803525308
"result.50",3,2,1.386294,1,-1.386294,1,0.2,20,0.640217805136468,1.30356726202882,-1.97017344046222,1.14964494633126,1.08442623496754,0.92778991999308,1.01394782632122,0.218565960708308,23.1955457219334
