"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.994827777671343,0.763687007935903,0.0538071557055769,1.1625266814009,0.77145641110045,0.825623532413926,0.920150559796899,0.188521989535809,23.1483297377215
"result.2",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.712123463399652,0.455095266778738,1.24710367604684,1.60053800331703,0.689503892982708,1.12053328734267,0.723853179641332,0.196820651465498,29.3614989384888
"result.3",2,1,-1.386294,1,-1.386294,1,0.2,20,0.0537321299356999,0.385402010360369,0.808916851349324,1.6981954119447,1.0220669665502,0.934457219170143,1.13210749686213,0.207220755800891,26.9463438794845
"result.4",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.981481143131005,0.647756933346349,0.163482960238725,1.65907185534787,0.882216935196699,1.07887002337275,0.636710673757959,0.170417239543118,32.4602510547427
"result.5",2,1,-1.386294,1,-1.386294,1,0.2,20,-1.04982345908326,0.805212167453702,0.120057822975541,1.34066448989575,0.87424892276673,0.910162195858465,0.739721092956538,0.208090497454803,24.9703674139871
"result.6",2,1,-1.386294,1,-1.386294,1,0.2,20,-1.10303318757463,0.832870972973621,-0.0707913865518242,1.1908192035728,0.956090594363534,0.918550782676733,0.66879300700844,0.213814026562041,23.603380459136
"result.7",2,1,-1.386294,1,-1.386294,1,0.2,20,-1.50607546531023,0.967059568750159,-0.155181183405194,1.25825606999611,0.948479117402941,0.749206209145037,0.830476466613711,0.218504330268971,23.2999639738579
"result.8",2,1,-1.386294,1,-1.386294,1,0.2,20,-1.28253465281798,0.907611139334863,-0.0761745007449776,1.07355162035279,0.934649913824794,0.851715754290262,0.716286712624784,0.215260569564396,23.7146848318184
"result.9",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.979689476399416,0.63453614116761,-0.140204244352804,1.66306863798302,0.806212699525741,0.963487508477339,0.59658411994419,0.198652095287609,21.2536333808568
"result.10",2,1,-1.386294,1,-1.386294,1,0.2,20,-1.08478778836954,0.558441509469349,0.704819273439281,2.03127472749478,0.652692986257237,0.970700516344262,0.925957961678216,0.193865307603844,27.2064682799192
"result.11",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.177878415234012,0.661556359905463,0.0968917879440638,0.398156432547585,1.08209865627123,0.498328441349006,1.1745174572573,0.178709596392451,33.3372388105317
"result.12",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.703679928541552,0.675205191358158,0.0816702097746038,1.5710686452448,0.89289365601684,0.995105194554952,0.834781094692121,0.187306178237728,26.9964928021871
"result.13",2,1,-1.386294,1,-1.386294,1,0.2,20,0.0619444655239875,0.185160706868499,0.643030231544184,1.29141201682485,0.696586083766805,0.870674675184147,1.04483723019177,0.216334869298541,27.3386597699698
"result.14",2,1,-1.386294,1,-1.386294,1,0.2,20,-1.71721008622789,0.918183347198517,0.429290447850627,1.61994736034257,0.849151303123723,0.894723107776769,0.813424296028454,0.207403349682611,26.0223505348866
"result.15",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.0831411938335143,0.341341607572046,1.14898895909655,1.00272284606552,0.805475442212103,1.09179836509302,0.858629421630769,0.179090847675511,25.6546539809044
"result.16",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.529374889411975,0.480132140386621,0.5389286594596,1.11529910322639,0.689290165050267,0.831691157430695,1.13643070430019,0.210496229285378,24.7891640724842
"result.17",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.741766883852843,0.689388377661334,0.204409959370267,1.12031368411191,0.979362377373337,0.783397894661379,1.02521123107845,0.178864388940761,30.925146401613
"result.18",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.151131118440709,0.272396384095811,0.558099548180311,1.13123347630407,0.502884740236602,1.21397379484762,0.908448540153235,0.196117232131995,34.3092816522717
"result.19",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.481939866394542,0.573545041945384,1.30446091925879,1.63658801260376,0.980014871180695,1.05993516129038,0.669388788227804,0.18009534960952,30.8417490722602
"result.20",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.107979298065953,0.493725293498673,0.467253982019065,0.766607991534655,0.913040541965331,0.773588469609576,0.726859295285553,0.194839391389737,26.1763489555087
"result.21",2,1,-1.386294,1,-1.386294,1,0.2,20,-1.06154907048177,0.755991449031996,0.7822621000879,1.0692085587508,0.782034128737941,0.930338569443692,0.764470510876599,0.201725597521155,27.9949349271353
"result.22",2,1,-1.386294,1,-1.386294,1,0.2,20,-0.278365339827056,0.550752064609792,0.172394509166879,1.16752433585505,1.02477935886776,0.741955572977253,0.70839208714477,0.156634575015552,26.8449730128248
