"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",4,1,1.386294,1,1.386294,1,0.8,20,0.36232324912903,1.17354726855116,2.80403096595355,0.724009697429723,0.876468919942435,0.959312017672744,0.988939441011536,0.789096392292933,21.0539810560826
"result.2",4,1,1.386294,1,1.386294,1,0.8,20,0.791802580641358,1.0592331399982,3.3185500723489,0.593126554924672,0.98280500642637,0.97438616311578,0.902811032583371,0.796961957432837,19.9026771247052
"result.3",4,1,1.386294,1,1.386294,1,0.8,20,0.905373658043196,1.01552197433619,2.83086158622501,1.0832707484014,1.02338982216181,0.950810552894929,0.700543144439243,0.798472502486216,19.6768629025206
"result.4",4,1,1.386294,1,1.386294,1,0.8,20,0.417136931183808,1.43357954694219,2.57818776539912,0.833812551899891,1.05986979150307,0.901704995683708,0.981569459862787,0.793337929220584,21.1426506266828
"result.5",4,1,1.386294,1,1.386294,1,0.8,20,1.15954286783232,0.948242683321779,3.40277097801702,0.844856403359053,0.976945769956654,0.716616894480526,1.0745479933318,0.767122034001282,18.8965437318975
"result.6",4,1,1.386294,1,1.386294,1,0.8,20,1.27403387443762,0.839705595761936,3.47452127279305,1.33985175426888,0.974636414666168,1.00655699473457,0.853925356751066,0.766819191194042,18.9121915544671
"result.7",4,1,1.386294,1,1.386294,1,0.8,20,1.07082788063988,1.01964621513714,3.46233647342515,0.487814987459912,0.973776499627848,0.955929424848825,0.940448605354707,0.767048366626652,18.9082205112513
"result.8",4,1,1.386294,1,1.386294,1,0.8,20,1.12685762522155,0.995205400587,3.27478881805048,0.473977251434473,0.977070066166213,0.98633166048813,0.908514567719414,0.767168616120438,18.884275543445
"result.9",4,1,1.386294,1,1.386294,1,0.8,20,-0.302289857351253,1.46288934929264,3.74270659313345,1.17716933285512,1.01204280896178,1.14468371354081,0.70531243283258,0.814485839373751,21.3017592947918
"result.10",4,1,1.386294,1,1.386294,1,0.8,20,0.240974455072394,1.38140529333033,2.3448683314905,0.932016629941356,0.996893354524821,0.744502707043038,0.982100496773346,0.74103228964069,19.0302220020066
"result.11",4,1,1.386294,1,1.386294,1,0.8,20,0.640483560836486,1.22126396171287,1.59072419750394,0.745832177210255,0.925798121373103,0.512479430529389,1.23555717297976,0.822687642124122,19.4552698857103
"result.12",4,1,1.386294,1,1.386294,1,0.8,20,0.142559546065481,1.45960233363403,1.6541170235726,1.20206289908547,0.953823050619146,0.663206951247613,1.12121327424757,0.792056058263721,21.5329628289577
"result.13",4,1,1.386294,1,1.386294,1,0.8,20,-0.00188432685553117,1.35000197123985,2.37783698094145,0.879116728552398,0.990037598011842,0.768602588899975,1.11622940302439,0.818702093704699,22.680333202853
"result.14",4,1,1.386294,1,1.386294,1,0.8,20,0.170774217376163,1.29134565993988,2.93791516098884,0.725684375298646,1.06198039354782,0.743113304597726,1.10574466010817,0.813271683994504,21.3251281030155
