"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",1,4,1.386294,1,1.386294,1,0.8,20,1.75669046097614,2.16581030574256,1.16501448181078,1.16231988523744,0.767718956331755,0.843529707096139,0.997216001288395,0.779149916631194,17.6789787135664
"result.2",1,4,1.386294,1,1.386294,1,0.8,20,1.70086314535941,2.33607328695824,0.972286897622793,1.14515780741888,0.884759406471959,0.791103216883615,1.00044224503802,0.777896103597596,21.3824685828277
"result.3",1,4,1.386294,1,1.386294,1,0.8,20,1.26054714747756,2.02310499961414,1.30443194154907,0.916620150852748,0.730127002246957,1.01102209706913,0.995129140930149,0.78017923122304,19.7173764207017
"result.4",1,4,1.386294,1,1.386294,1,0.8,20,1.42364437965198,2.46423127233865,1.51654538226206,0.897122530550401,0.684092716357588,1.27394436593338,0.965253663502474,0.783823005797246,20.1231012535011
"result.5",1,4,1.386294,1,1.386294,1,0.8,20,1.18479901134055,2.56810705654765,1.38658670145019,1.01125597263926,0.526967951590935,1.21726190797297,0.975071916445241,0.781273799091644,19.5034285401472
"result.6",1,4,1.386294,1,1.386294,1,0.8,20,1.93087721887667,2.43895302808762,1.38359880387095,1.0098523645321,0.819967390611665,0.991911165233122,0.975794036115779,0.781127416960779,19.477626577622
"result.7",1,4,1.386294,1,1.386294,1,0.8,20,1.62621864686292,2.48128112230951,1.37850739362719,1.01397250268247,0.622668159170676,1.09965511636158,0.975345982020557,0.781206039079599,19.4540980277594
"result.8",1,4,1.386294,1,1.386294,1,0.8,20,1.62621864686292,2.48128112230951,1.37850739362719,1.01397250268247,0.622668159170676,1.09965511636158,0.975345982020557,0.781206039079599,19.4540980277594
"result.9",1,4,1.386294,1,1.386294,1,0.8,20,1.55239424231517,2.36735707859547,1.15340080950858,1.06824967224626,0.84748402942655,1.08477588738569,1.00448564293792,0.754433900316671,24.3107754834375
"result.10",1,4,1.386294,1,1.386294,1,0.8,20,1.00551904699716,2.45852130455593,1.2878910347988,0.938648622928671,0.342850414099466,1.41272734988978,0.997735485900217,0.810031665476667,18.2747803889849
"result.11",1,4,1.386294,1,1.386294,1,0.8,20,1.42441944024211,2.33457258432033,0.98213167060359,1.10716499846408,0.648687494995269,1.17361218705229,0.994561545247533,0.809554261030637,20.5967907556475
"result.12",1,4,1.386294,1,1.386294,1,0.8,20,1.41720070290578,2.6623788011344,1.28595444003327,0.938457868786076,0.606117441851211,1.3324396810985,0.997503743443581,0.808682752614437,18.3696579533749
