"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",1,2,1.386294,1,-1.386294,1,0.2,20,1.16927760724777,2.16000654396828,-1.83705014521828,1.13031665155885,0.778055013454453,0.818628396223168,1.1501432830061,0.215315002111276,19.766201975454
"result.2",1,2,1.386294,1,-1.386294,1,0.2,20,1.12112050314383,1.95974244806837,-1.14519895883768,0.942517161260881,0.978099607586086,0.95361598140609,1.06303294372562,0.183260675369312,23.5531455144487
"result.3",1,2,1.386294,1,-1.386294,1,0.2,20,0.983053534293405,1.9212022169314,-1.4821516044694,1.03761826868654,0.820163231962511,1.16357102326838,0.969029344211195,0.211049935558994,24.0021613424887
"result.4",1,2,1.386294,1,-1.386294,1,0.2,20,0.868857092135731,1.55792251976391,-0.692105694050927,0.723568217358588,0.7385534408008,1.20884935837338,1.00854798467542,0.199328461085146,25.2276691328585
"result.5",1,2,1.386294,1,-1.386294,1,0.2,20,0.859384468592806,1.95363609189602,-1.35475892695891,0.983012471908123,0.595740259410186,1.11962847694788,1.09522705511817,0.184408239120699,23.2725159634321
"result.6",1,2,1.386294,1,-1.386294,1,0.2,20,1.15102503048116,2.10124802068998,-1.46945296212396,1.01308386966159,0.856805488293003,0.829742942776172,1.10499891386402,0.184781539957584,23.6645990908909
"result.7",1,2,1.386294,1,-1.386294,1,0.2,20,0.861026148771293,1.9732753612065,-1.34050374395009,0.97021582574809,0.576529446097995,1.06382535002248,1.1031788007125,0.184831257465755,23.5003300960573
"result.8",1,2,1.386294,1,-1.386294,1,0.2,20,0.861026148771293,1.9732753612065,-1.34050374395009,0.97021582574809,0.576529446097995,1.06382535002248,1.1031788007125,0.184831257465755,23.5003300960573
"result.9",1,2,1.386294,1,-1.386294,1,0.2,20,1.33649646154683,2.01817268158315,0.325329426418334,0.412363238874519,0.951694063878937,0.641677313218442,0.904143792893391,0.191015097867661,21.9835802975258
"result.10",1,2,1.386294,1,-1.386294,1,0.2,20,1.17058453605773,2.05763032355018,-0.82117588836182,0.913136504501535,0.858669493510219,1.05671191411598,0.949050147565593,0.172056617871403,22.6532908184199
"result.11",1,2,1.386294,1,-1.386294,1,0.2,20,0.911703822578312,1.63546605019114,-0.662150702204925,0.865928883651688,0.730763688460129,1.08961248443401,0.951585358312656,0.172246539418803,23.2780624355901
"result.12",1,2,1.386294,1,-1.386294,1,0.2,20,1.23207672739339,1.90391505738281,0.157605225650538,0.484396039279248,1.00749694632374,1.07292848229395,0.968232665366567,0.17332621231179,22.3896016970538
"result.13",1,2,1.386294,1,-1.386294,1,0.2,20,1.15664425609142,1.89432570906803,-0.400147408191847,0.685380910021891,0.783962869688729,0.994904751170033,1.02643445855236,0.204446693533986,22.8563189382107
"result.14",1,2,1.386294,1,-1.386294,1,0.2,20,0.882659901854612,2.0562943676842,-0.882092527817962,0.804615445028947,0.681049760778618,1.05649834061818,1.02404096774215,0.238697402040072,27.7832162846618
"result.15",1,2,1.386294,1,-1.386294,1,0.2,20,1.07748219378072,1.81669734886013,-0.756888749725182,0.88523534694721,1.00206605970381,1.14346636444985,0.905943523724665,0.170983346559239,28.4982557123982
"result.16",1,2,1.386294,1,-1.386294,1,0.2,20,1.16413153746657,1.96690227598312,-0.749838723927901,0.904084569682652,0.881886832235569,0.980911750499725,1.0563550490083,0.182113166831904,21.9376794039757
"result.17",1,2,1.386294,1,-1.386294,1,0.2,20,0.843735280906694,1.71580504921971,-1.46472581377708,1.03955414942002,0.836245160396628,0.869899817729927,0.872739142645692,0.183191662471644,28.1974448828009
"result.18",1,2,1.386294,1,-1.386294,1,0.2,20,0.450553562669524,1.29492517840378,-1.33820618946361,1.10876573146021,0.599937208351486,1.42933579467077,1.04332229987566,0.180417652046996,29.3334908150969
"result.19",1,2,1.386294,1,-1.386294,1,0.2,20,1.27720630122679,2.08752345975383,-0.618116522003259,0.621792515760965,0.932420319370127,1.01283162675076,1.06387633000231,0.223635673573279,24.4460614144287
"result.20",1,2,1.386294,1,-1.386294,1,0.2,20,0.706983735837478,1.77467751533442,-0.629467018952553,0.682243630054141,0.522804434240598,1.03902438596672,0.985265449264278,0.194706396601611,21.686935322092
"result.21",1,2,1.386294,1,-1.386294,1,0.2,20,1.52409352124518,2.03801619261349,-1.15795871469568,1.03653362201459,0.971175062764917,1.00346812085697,1.06793288281658,0.194459040225378,20.0540670259224
"result.22",1,2,1.386294,1,-1.386294,1,0.2,20,0.628651924932829,1.74244242210712,-0.770338670060833,0.806783931630347,0.723377098343823,1.36505188907584,1.04940835888254,0.179650286613694,33.025294788825
"result.23",1,2,1.386294,1,-1.386294,1,0.2,20,0.666627266328275,1.79092013559111,-1.45605644007771,1.12635509538347,0.673936590587541,0.973051346318281,1.00435927387933,0.205709636826023,27.1671111134449
"result.24",1,2,1.386294,1,-1.386294,1,0.2,20,1.29932126007443,1.99592866084346,-0.879875118314469,0.858623373189215,0.927910781074283,1.32783758919569,0.80005188259877,0.176775364775337,19.8113780195854
"result.25",1,2,1.386294,1,-1.386294,1,0.2,20,1.16056972949308,2.07431462939005,-0.63612477252805,0.725086753539503,0.753758354003645,1.11820531193724,0.997828945332529,0.220837253177291,19.0827365358309
"result.26",1,2,1.386294,1,-1.386294,1,0.2,20,1.00138419604956,2.08978305878892,-1.90022684888841,1.10386847248285,0.617197528376464,0.970036746678663,0.962566084036985,0.2109590935387,21.0199415849901
"result.27",1,2,1.386294,1,-1.386294,1,0.2,20,0.982591911304367,1.75544276400713,-0.750274739918758,0.678315657173803,0.670240091726558,1.08149951662389,0.94149915651156,0.184052180234334,21.2295133396042
"result.28",1,2,1.386294,1,-1.386294,1,0.2,20,0.826916634942517,1.88627218803025,-1.35078059217551,0.848992521903295,0.554963425956526,0.732210058312868,1.04152503825218,0.165826249113722,19.6904005810814
"result.29",1,2,1.386294,1,-1.386294,1,0.2,20,0.592672611825017,1.78540551228605,-1.00664298702077,0.778629690111723,0.557436712858248,0.707967595321887,1.1833829545818,0.211249757001559,28.3698564473815
"result.30",1,2,1.386294,1,-1.386294,1,0.2,20,1.03573117678094,2.17234733001504,-1.24001201405851,0.981892809696695,0.588712957767409,0.955833560935453,1.05114261821475,0.177155874150902,19.3454269814918
